ticker,region,type,pnl_report,contribution_bps,today_mv_report,prev_mv_report
9988.HK,HK,long,22495643.479993213,8.676260152165518,3190273555.4494977,3167777911.9695044
3690.HK,HK,long,10506618.456233364,4.052258168427011,1511458655.8354373,1500952037.3792038
GOOG,US,long,0.0,0.0,2019738273.9233413,2019738273.9233413
IBN,US,long,0.0,0.0,454291602.04162586,454291602.04162586
ONON,US,long,0.0,0.0,803870122.3864751,803870122.3864751
LLY,US,long,0.0,0.0,747634209.8789066,747634209.8789066
MELI,US,long,0.0,0.0,717144256.6458392,717144256.6458392
SNOW,US,long,0.0,0.0,749675916.5048823,749675916.5048823
UNH,US,long,0.0,0.0,938801220.9892571,938801220.9892571
AR,US,long,0.0,0.0,1002212514.5800784,1002212514.5800784
BAGY,US,long,0.0,0.0,1016529596.1979246,1016529596.1979246
GLD,US,long,0.0,0.0,1151430127.505273,1151430127.505273
INTC,US,long,0.0,0.0,1139652129.765381,1139652129.765381
NXE,US,long,0.0,0.0,1191512831.0729983,1191512831.0729983
LYB,US,long,0.0,0.0,1519506959.8455806,1519506959.8455806
META,US,long,0.0,0.0,1511022068.571339,1511022068.571339
MTSR,US,long,0.0,0.0,128110233.34460449,128110233.34460449
6181.HK,HK,long,-1135094.9782680229,-0.43779051431130717,1505135941.1833982,1506271036.1616664
0522.HK,HK,long,-3236427.8305989085,-1.2482456813008345,1005234503.9376088,1008470931.7682077
6762.T,JP,long,-11316757.220678097,-4.364717542435483,1184251489.9888766,1195568247.2095547
8031.T,JP,long,-12731351.873262858,-4.910307235239919,1148085020.037793,1160816371.9110558
9961.HK,HK,long,-57411415.42975455,-22.142792955249586,1239411144.8658776,1296822560.2956321
